user_input,retrieved_contexts,response,reference,answer_correctness,answer_relevancy,answer_similarity,faithfulness,context_precision,context_recall
How does smoking contribute to AMD progression?,"['Smoking accelerates and worsens age-related macular degeneration: it is associated with earlier onset, faster progression from early to advanced stages, and a higher risk of late/advanced disease including geographic atrophy. Tobacco use damages macular tissue through vascular, retinal pigment epithelium, and molecular injury, leading to greater vision loss and poorer treatment outcomes. Quitting smoking reduces these risks and can help slow or prevent progression to severe forms.']","Smoking contributes to AMD progression by causing vascular, retinal pigment epithelium, and molecular damage to the macula that leads to earlier onset, faster progression from early to advanced stages (including geographic atrophy), greater vision loss, and poorer treatment outcomes, while quitting reduces these risks.","Smoking increases oxidative stress in the retina, which accelerates damage and AMD progression.",0.3391664125512025,,0.9280942216333815,1.0,0.9999999999,0.0
Why does wet AMD lead to rapid vision loss?,"['Wet AMD causes rapid vision loss because abnormal new blood vessels grow beneath the macula and leak fluid and blood, producing swelling and exudation that quickly damages the retinal pigment epithelium and the overlying photoreceptors that mediate central vision; this damage can be swift and often irreversible, though prompt anti‑VEGF therapy can reduce leakage and improve or stabilize vision.']","Wet AMD causes rapid vision loss because abnormal new blood vessels grow beneath the macula and leak fluid and blood, causing swift swelling and exudation that quickly damages the retinal pigment epithelium and overlying photoreceptors critical for central vision (though prompt anti‑VEGF therapy can reduce leakage and improve or stabilize vision).","Wet AMD causes abnormal blood vessels to leak fluid or blood, damaging the macula and rapidly impairing central vision.",0.9885367281506556,,0.9541469126026225,1.0,0.9999999999,1.0
How does aging affect the retina in AMD?,"['Aging impairs retinal structure and function and is a major driver of AMD: it promotes RPE degeneration and photoreceptor (especially rod) loss, fosters accumulation of lipid-rich deposits, and diminishes mitochondrial function and autophagy. These changes increase oxidative stress, inflammation and complement activation, reduce cellular and vascular resilience, and thereby accelerate AMD onset and progression toward geographic atrophy or neovascular disease with central vision loss.']","Aging impairs retinal structure and function in AMD by promoting RPE degeneration and photoreceptor (especially rod) loss, fostering lipid-rich deposit accumulation, and reducing mitochondrial function and autophagy, which together increase oxidative stress, inflammation and complement activation and decrease cellular and vascular resilience, thereby accelerating progression to geographic atrophy or neovascular disease with central vision loss.","Aging leads to the accumulation of drusen and retinal cell degeneration, increasing AMD risk.",0.30788329666839026,,0.8981998533402278,1.0,0.9999999999,1.0
What happens when anti-VEGF injections are used for wet AMD?,"['Anti-VEGF injections delivered into the eye are the mainstay treatment for wet AMD: they reduce abnormal choroidal neovascularization and retinal fluid, leading to stabilization or improvement in visual acuity and central retinal thickness and helping prevent progression to severe vision loss. However, repeated intravitreal injections carry a substantial treatment burden and cost and can cause injection-related complications, including sustained or elevated intraocular pressure and increased risk of glaucoma, so ongoing monitoring and follow-up are required.']","Anti-VEGF intravitreal injections for wet AMD reduce abnormal choroidal neovascularization and retinal fluid—stabilizing or improving visual acuity and central retinal thickness and preventing severe vision loss—but require repeated treatments that carry treatment burden, cost, and risks such as sustained or elevated intraocular pressure and increased glaucoma risk, necessitating ongoing monitoring.","Anti-VEGF injections block blood vessel growth, reducing fluid leakage and stabilizing vision in wet AMD.",0.4208080484609583,0.9397590074555481,0.933232193843833,1.0,0.9999999999,1.0
How does UV exposure influence AMD development?,"['UV exposure appears to have a mixed, dose- and context-dependent influence on AMD: chronic or high cumulative solar UV is linked to age-related ocular disease and to signs of early AMD and can contribute to visual impairment, whereas intermittent, limited UV exposure has been reported to improve cellular and functional phenotypes in retinal pigment epithelium cells (including cells at high AMD risk) and can alter vitamin D status, which may be protective. Overall the impact of UV on AMD likely depends on total dose, exposure pattern, and interactions with age, genetic susceptibility, and metabolic or other co‑risk factors.']","UV exposure influences AMD in a dose- and context-dependent manner: chronic/high cumulative solar UV is associated with early AMD signs and visual impairment, whereas intermittent/limited UV can improve retinal pigment epithelium cellular function and modify vitamin D status (potentially protective), with net risk determined by total dose, exposure pattern, age, genetics, and other co‑risk factors.","UV exposure damages the retinal pigment epithelium over time, contributing to AMD development.",0.23169231940227195,0.9528986987408848,0.9267134803327757,1.0,0.9999999999,0.0
Why does dry AMD sometimes progress to geographic atrophy?,"['Dry (non‑neovascular) AMD can evolve into geographic atrophy because the underlying degenerative process—drusen accumulation and subretinal deposit formation—progressively damages the retinal pigment epithelium and overlying photoreceptors in the central retina; impaired choriocapillaris perfusion and focal “nascent” atrophic lesions often herald expansion into confluent areas of RPE and photoreceptor loss, producing the advanced, vision‑threatening GA phenotype seen in late AMD.']","Dry AMD can progress to geographic atrophy because progressive drusen and subretinal deposit accumulation, impaired choriocapillaris perfusion, and focal nascent atrophic lesions progressively damage the retinal pigment epithelium and overlying photoreceptors in the central retina, eventually leading to confluent RPE and photoreceptor loss characteristic of GA.",Dry AMD progresses to geographic atrophy when drusen buildup causes retinal pigment epithelium and photoreceptor death.,0.8804047781305333,0.9749810268452354,0.9501905410935618,1.0,0.9999999999,1.0
How does the AREDS formula benefit AMD patients?,"['The AREDS formula—an evidence-based supplement regimen validated in the AREDS/AREDS2 trials—can slow progression of age-related macular degeneration and reduce the absolute risk of severe visual loss by about 6%, helping prevent or delay advanced disease and preserve central vision; however, it can have side effects and may influence the development of neovascular (wet) AMD in some cases, so use should be guided by a clinician.']","The AREDS formula—validated by AREDS/AREDS2—can slow progression of age-related macular degeneration, reducing the absolute risk of severe visual loss by about 6% to help prevent or delay advanced disease and preserve central vision, though it carries potential side effects and should be used under clinician guidance.","The AREDS formula provides antioxidants and zinc, slowing the progression from intermediate to advanced AMD.",0.3992945553723209,0.9260437488093621,0.9304713228055317,1.0,0.9999999999,0.0
What causes the wavy vision in wet AMD?,"['Wavy vision in wet AMD occurs when abnormal new blood vessels grow beneath the macula (choroidal neovascularization); their leakage, bleeding and associated swelling distort or displace the retinal pigment epithelium and photoreceptors, causing retinal distortion that makes straight lines appear wavy.']","Wavy vision in wet AMD is caused by choroidal neovascularization—abnormal new blood vessels beneath the macula whose leakage, bleeding, and resultant swelling distort or displace the retinal pigment epithelium and photoreceptors, producing retinal distortion that makes straight lines appear wavy.","Leaking blood vessels distort the macula, leading to metamorphopsia or wavy vision in wet AMD.",0.5063155386040626,0.9974451195410888,0.9343530635071596,1.0,0.9999999999,1.0
How does OCT imaging assist in AMD management?,"['Optical coherence tomography (OCT) provides high-resolution cross-sectional images of the retina and choroid that reveal retinal layers and microstructures, allowing clinicians to detect and quantify macular fluid (subretinal and intraretinal), edema, detachments, neovascularization and atrophy. By visualizing these signs and tracking changes over time, OCT identifies disease activity and stage, informs the need for and timing of treatments (such as anti‑VEGF therapy), monitors treatment response and progression toward geographic atrophy, and supplies surrogate biomarkers to guide individualized management. Enhanced depth imaging and OCT angiography further improve visualization of the choroidal vasculature and neovascular networks, supporting more precise diagnosis and follow‑up.']","OCT imaging assists AMD management by providing high-resolution, cross-sectional and vascular (OCT-A) visualization of retinal and choroidal microstructure to detect and quantify intraretinal/subretinal fluid, edema, detachments, neovascular networks and atrophy, thereby identifying disease activity and stage, guiding timing and need for anti‑VEGF or other therapies, monitoring treatment response and progression toward geographic atrophy, and supplying surrogate biomarkers for individualized care.","OCT imaging reveals retinal thickness and fluid, guiding treatment decisions in AMD management.",0.3769458369275174,0.9929454507182095,0.9362976815956572,1.0,0.9999999999,1.0
Why does smoking increase the severity of wet AMD?,"['Smoking worsens wet AMD because it increases the risk of developing late, neovascular disease and accelerates progression by promoting microvascular aging, inflammation, and damage to the retinal pigment epithelium (with reductions in RPE volume). Smoking also alters proteases and other molecular pathways that favor choroidal neovascularization and tissue injury, leading to greater vision loss and more severe disease. Additionally, smokers often have poorer responses to anti-VEGF treatment, contributing to worse clinical outcomes.']","Smoking increases the severity of wet AMD by promoting microvascular aging, inflammation, retinal pigment epithelium damage (including reduced RPE volume), and protease/molecular changes that favor choroidal neovascularization and tissue injury, leading to faster progression, greater vision loss, and poorer responses to anti-VEGF treatment.","Smoking heightens oxidative damage, worsening blood vessel abnormalities and leakage in wet AMD.",0.3450461214256504,0.9569301097016983,0.91864602416414,1.0,0.9999999999,0.0
How does hypertension contribute to AMD risk?,"['Chronic hypertension increases the risk of age-related macular degeneration and accelerates its progression by damaging small ocular blood vessels and choroidal circulation, promoting microvascular aging and retinal pigment epithelium changes. This vascular injury can impair choriocapillaris perfusion, predispose to retinal or choroidal hemorrhages and macroaneurysms, and raise the likelihood of neovascular (wet) AMD, so blood-pressure control may help reduce these vascular insults.']","Chronic hypertension contributes to AMD risk by damaging small ocular vessels and choroidal circulation—promoting microvascular aging, impaired choriocapillaris perfusion, retinal pigment epithelium changes, and increased likelihood of retinal/choroidal hemorrhages, macroaneurysms, and neovascular (wet) AMD, so blood-pressure control may mitigate these vascular insults.","Hypertension damages retinal blood vessels, increasing oxidative stress and AMD risk.",0.981779119159481,0.9432814334990308,0.9271164766379241,1.0,0.9999999999,1.0
What leads to scotomas in advanced AMD?,"['Scotomas in advanced AMD result from damage to the macula—including cone loss, outer retinal structural changes and neovascular (wet) complications—which produce central vision loss and blind spots that impair object, face and color recognition; worsening overall vision can aggravate these central scotomas and, in severe cases, lead to irreversible vision loss.']","Scotomas in advanced AMD are caused by macular damage—primarily cone photoreceptor loss, outer retinal structural changes, and neovascular (wet) complications—that produce central vision loss and blind spots impairing object, face, and color recognition.",Photoreceptor death in the macula creates blind spots or scotomas in advanced AMD.,0.9807887268855586,0.9725801912757887,0.9231549075422347,0.875,0.9999999999,1.0
How does lutein in the diet affect AMD?,"['Dietary lutein, a carotenoid that concentrates in the macula, boosts macular pigment and provides antioxidant and blue‑light filtering effects; higher lutein intake is associated with stronger macular pigment and a reduced risk or slower progression of age‑related macular degeneration, contributing to better overall eye health.']","Dietary lutein concentrates in the macula, increases macular pigment, provides antioxidant and blue‑light filtering effects, and is associated with a lower risk or slower progression of age‑related macular degeneration.","Lutein accumulates in the macula, filtering harmful light and reducing AMD progression.",0.8985322306586203,0.8780616549529355,0.9274622559678145,1.0,0.9999999999,1.0
Why does wet AMD sometimes cause retinal detachment?,"['In wet (neovascular) AMD, abnormal new blood vessels under the macula leak fluid and blood, and this subretinal exudation or hemorrhage can lift the retina from the underlying tissue, promote traction and scarring, or precipitate retinal breaks that lead to detachment. Treatments for wet AMD, such as frequent intravitreal injections, also carry a small risk of inducing or worsening retinal detachment.']","Wet (neovascular) AMD can lead to retinal detachment because abnormal submacular blood vessels leak fluid and blood that can lift the neurosensory retina off the underlying tissue and/or promote traction, scarring, or retinal breaks (and, less commonly, treatments like intravitreal injections can also contribute risk).","Fluid and blood from leaking vessels can lift the retina, leading to detachment in wet AMD.",0.7789727030428762,0.9638573837336867,0.9340726303533233,1.0,0.9999999999,1.0
How does photodynamic therapy treat wet AMD?,"['Photodynamic therapy treats wet AMD by targeting the abnormal choroidal blood vessels that grow and leak in the wet form, using a light-activated drug and laser to selectively close those leaking vessels, reduce retinal swelling, and help preserve or improve vision as an alternative or complement to other treatments like anti-VEGF injections or laser procedures.']","Photodynamic therapy treats wet AMD by intravenously administering a light-activated drug that accumulates in abnormal choroidal neovascular vessels and then activating it with a laser to selectively close those leaking vessels, reducing retinal swelling and helping preserve or improve vision as an alternative or complement to anti-VEGF injections.","Photodynamic therapy activates a drug with laser light, sealing abnormal blood vessels in wet AMD.",0.5098703842138779,0.9999999999999997,0.9484459653754843,0.75,0.9999999999,1.0
What causes the progression from early to intermediate AMD?,"['Progression from early to intermediate AMD is driven mainly by age-related macular changes—especially the accumulation and enlargement of drusen (including reticular/subretinal drusenoid deposits)—and by associated structural damage such as RPE atrophy, subretinal/intraretinal fluid and reduced choroidal/retinal perfusion; advancing age plus systemic factors like inflammation, genetics and other health or environmental risks further promote the transition and the emergence of neovascular or atrophic macular features.']","Progression from early to intermediate AMD is primarily driven by age-related macular changes—especially accumulation and enlargement of drusen (including reticular/subretinal drusenoid deposits) and related structural damage such as RPE atrophy, subretinal/intraretinal fluid, and reduced choroidal/retinal perfusion—while advancing age and systemic factors like inflammation, genetics, and other health or environmental risks further promote transition and emergence of neovascular or atrophic features.",Drusen growth and retinal pigment changes cause progression from early to intermediate AMD.,0.23225555602908407,0.9770164528867294,0.9290222241163363,1.0,0.9999999999,0.0
How does low vision rehabilitation improve quality of life in AMD?,"['For people with age‑related macular degeneration, low vision rehabilitation—through targeted vision‑rehabilitation techniques, reading training, assistive devices and a multidisciplinary (collaborative) care approach—enhances remaining visual function, improves daily activities and mobility, reduces dependence and reading difficulties, and addresses emotional distress and depression; together these effects meaningfully improve independence and overall quality of life.']","Low vision rehabilitation for AMD—via targeted vision‑rehabilitation techniques, reading training, assistive devices, and multidisciplinary care—enhances remaining visual function, improves daily activities, mobility and reading, reduces dependence and emotional distress (including depression), and thereby meaningfully improves independence and overall quality of life.","Low vision rehabilitation teaches adaptive strategies, enhancing independence and quality of life in AMD.",0.40249989974531863,0.9612180600743215,0.9433329323146079,1.0,0.9999999999,1.0
Why does wet AMD lead to macular edema?,"['In wet AMD, abnormal new blood vessels grow beneath the macula (driven largely by VEGF) and leak fluid, blood, and proteinaceous exudates into and under the retina; this vascular leakage leads to accumulation of intraretinal and subretinal fluid and cystoid changes, producing macular edema and consequent central vision impairment.']","Wet AMD leads to macular edema because VEGF-driven growth of abnormal choroidal neovascular vessels beneath the macula causes leakage of fluid, blood, and proteinaceous exudates into and under the retina, resulting in accumulation of intraretinal and subretinal fluid and cystoid changes.","Leaking blood vessels release fluid into the macula, causing swelling known as macular edema in wet AMD.",0.5313784567207984,0.9635201063999981,0.9255138268831936,1.0,0.9999999999,1.0
How does aging increase vulnerability to wet AMD?,"['Aging raises the risk of wet age-related macular degeneration by driving progressive decline in retinal and supporting tissues: reduced mitochondrial function, impaired autophagy and proteostasis, lipid accumulation, and increased oxidative stress cause retinal pigment epithelium dysfunction and cellular senescence. Age-related inflammation and complement/immune dysregulation, together with loss of vascular integrity and barrier function, promote chronic damage and pathological new blood vessel growth beneath the macula. These aging-driven changes, combined with genetic and environmental risks, accelerate AMD pathogenesis and increase the likelihood of neovascular (wet) disease.']","Aging increases vulnerability to wet AMD by driving mitochondrial dysfunction, impaired autophagy/proteostasis, lipid accumulation, oxidative stress, retinal pigment epithelium dysfunction and senescence, chronic inflammation and complement/immune dysregulation, and loss of vascular integrity/barrier function that together promote chronic damage and pathological choroidal neovascularization, with genetic and environmental risks further accelerating this process.","Aging weakens retinal tissues, making them more susceptible to abnormal blood vessel growth in wet AMD.",0.22836411717783134,0.9894501069473453,0.9134564687113254,1.0,0.9999999999,1.0
What leads to Charles Bonnet syndrome in AMD patients?,"['In patients with age‑related macular degeneration, marked visual loss—especially central vision loss and other severe visual impairment—can give rise to Charles Bonnet syndrome, which is associated with visual cortical hyperexcitability and can negatively impact psychological well‑being.']","In AMD patients, marked visual loss—particularly central vision loss and other severe visual impairment—can lead to Charles Bonnet syndrome by causing visual cortical hyperexcitability that produces visual hallucinations and can worsen psychological well‑being.","Vision loss from AMD triggers the brain to create hallucinations, known as Charles Bonnet syndrome.",0.8598795267686872,0.9937395226278841,0.9395016004079932,0.5714285714285714,0.9999999999,0.0
How does quitting smoking benefit AMD patients?,"['Quitting smoking can slow or reduce progression of age-related macular degeneration by removing a modifiable contributor to inflammation and other harmful conditions that exacerbate the disease, helping to lower the risk of worsening central and general vision loss, neovascular/exudative changes, and the attendant functional and emotional impacts such as difficulty reading, driving, and loss of independence.']","Quitting smoking can slow or reduce progression of age-related macular degeneration by removing a modifiable contributor to inflammation and other harmful processes, thereby lowering the risk of worsening central and overall vision loss, neovascular/exudative changes, and related functional and emotional impairments.","Quitting smoking reduces oxidative stress, slowing retinal damage and AMD progression.",0.36414889641480425,0.8840353997642221,0.9111657324481187,1.0,0.9999999999,1.0
Why does hypertension worsen AMD outcomes?,"['Hypertension damages the ocular microvasculature—including the choriocapillaris and deep retinal vessels—and accelerates microvascular aging and RPE/Bruch’s membrane changes, promoting ischemia and tissue stress in the macula. Those vascular insults increase progression of AMD toward neovascular (wet) forms, raise the risk of subretinal hemorrhage and other retinal vascular events, and thereby worsen vision and prognosis. Hypertension and its systemic complications can also complicate or reduce the benefit of treatments such as intravitreal anti‑VEGF therapy, further impairing outcomes.']","Hypertension worsens AMD outcomes by damaging the ocular microvasculature (choriocapillaris and deep retinal vessels), accelerating microvascular and RPE/Bruch’s membrane aging that promotes macular ischemia and tissue stress, increasing progression to neovascular (wet) AMD and risk of subretinal hemorrhage, and reducing the efficacy and safety of treatments like intravitreal anti‑VEGF.","Hypertension impairs retinal circulation, exacerbating damage and worsening AMD outcomes.",0.9838261497174199,0.9572748981431068,0.9353045988696793,0.8888888888888888,0.9999999999,1.0
