question,ground_truth,context,generated_answer
How does smoking contribute to AMD progression?,"Smoking increases oxidative stress in the retina, which accelerates damage and AMD progression.","['Smoking accelerates and worsens age-related macular degeneration: it is associated with earlier onset, faster progression from early to advanced stages, and a higher risk of late/advanced disease including geographic atrophy. Tobacco use damages macular tissue through vascular, retinal pigment epithelium, and molecular injury, leading to greater vision loss and poorer treatment outcomes. Quitting smoking reduces these risks and can help slow or prevent progression to severe forms.']","Smoking contributes to AMD progression by causing vascular, retinal pigment epithelium, and molecular damage to the macula that leads to earlier onset, faster progression from early to advanced stages (including geographic atrophy), greater vision loss, and poorer treatment outcomes, while quitting reduces these risks."
Why does wet AMD lead to rapid vision loss?,"Wet AMD causes abnormal blood vessels to leak fluid or blood, damaging the macula and rapidly impairing central vision.","['Wet AMD causes rapid vision loss because abnormal new blood vessels grow beneath the macula and leak fluid and blood, producing swelling and exudation that quickly damages the retinal pigment epithelium and the overlying photoreceptors that mediate central vision; this damage can be swift and often irreversible, though prompt anti‑VEGF therapy can reduce leakage and improve or stabilize vision.']","Wet AMD causes rapid vision loss because abnormal new blood vessels grow beneath the macula and leak fluid and blood, causing swift swelling and exudation that quickly damages the retinal pigment epithelium and overlying photoreceptors critical for central vision (though prompt anti‑VEGF therapy can reduce leakage and improve or stabilize vision)."
How does aging affect the retina in AMD?,"Aging leads to the accumulation of drusen and retinal cell degeneration, increasing AMD risk.","['Aging impairs retinal structure and function and is a major driver of AMD: it promotes RPE degeneration and photoreceptor (especially rod) loss, fosters accumulation of lipid-rich deposits, and diminishes mitochondrial function and autophagy. These changes increase oxidative stress, inflammation and complement activation, reduce cellular and vascular resilience, and thereby accelerate AMD onset and progression toward geographic atrophy or neovascular disease with central vision loss.']","Aging impairs retinal structure and function in AMD by promoting RPE degeneration and photoreceptor (especially rod) loss, fostering lipid-rich deposit accumulation, and reducing mitochondrial function and autophagy, which together increase oxidative stress, inflammation and complement activation and decrease cellular and vascular resilience, thereby accelerating progression to geographic atrophy or neovascular disease with central vision loss."
What happens when anti-VEGF injections are used for wet AMD?,"Anti-VEGF injections block blood vessel growth, reducing fluid leakage and stabilizing vision in wet AMD.","['Anti-VEGF injections delivered into the eye are the mainstay treatment for wet AMD: they reduce abnormal choroidal neovascularization and retinal fluid, leading to stabilization or improvement in visual acuity and central retinal thickness and helping prevent progression to severe vision loss. However, repeated intravitreal injections carry a substantial treatment burden and cost and can cause injection-related complications, including sustained or elevated intraocular pressure and increased risk of glaucoma, so ongoing monitoring and follow-up are required.']","Anti-VEGF intravitreal injections for wet AMD reduce abnormal choroidal neovascularization and retinal fluid—stabilizing or improving visual acuity and central retinal thickness and preventing severe vision loss—but require repeated treatments that carry treatment burden, cost, and risks such as sustained or elevated intraocular pressure and increased glaucoma risk, necessitating ongoing monitoring."
How does UV exposure influence AMD development?,"UV exposure damages the retinal pigment epithelium over time, contributing to AMD development.","['UV exposure appears to have a mixed, dose- and context-dependent influence on AMD: chronic or high cumulative solar UV is linked to age-related ocular disease and to signs of early AMD and can contribute to visual impairment, whereas intermittent, limited UV exposure has been reported to improve cellular and functional phenotypes in retinal pigment epithelium cells (including cells at high AMD risk) and can alter vitamin D status, which may be protective. Overall the impact of UV on AMD likely depends on total dose, exposure pattern, and interactions with age, genetic susceptibility, and metabolic or other co‑risk factors.']","UV exposure influences AMD in a dose- and context-dependent manner: chronic/high cumulative solar UV is associated with early AMD signs and visual impairment, whereas intermittent/limited UV can improve retinal pigment epithelium cellular function and modify vitamin D status (potentially protective), with net risk determined by total dose, exposure pattern, age, genetics, and other co‑risk factors."
Why does dry AMD sometimes progress to geographic atrophy?,Dry AMD progresses to geographic atrophy when drusen buildup causes retinal pigment epithelium and photoreceptor death.,"['Dry (non‑neovascular) AMD can evolve into geographic atrophy because the underlying degenerative process—drusen accumulation and subretinal deposit formation—progressively damages the retinal pigment epithelium and overlying photoreceptors in the central retina; impaired choriocapillaris perfusion and focal “nascent” atrophic lesions often herald expansion into confluent areas of RPE and photoreceptor loss, producing the advanced, vision‑threatening GA phenotype seen in late AMD.']","Dry AMD can progress to geographic atrophy because progressive drusen and subretinal deposit accumulation, impaired choriocapillaris perfusion, and focal nascent atrophic lesions progressively damage the retinal pigment epithelium and overlying photoreceptors in the central retina, eventually leading to confluent RPE and photoreceptor loss characteristic of GA."
How does the AREDS formula benefit AMD patients?,"The AREDS formula provides antioxidants and zinc, slowing the progression from intermediate to advanced AMD.","['The AREDS formula—an evidence-based supplement regimen validated in the AREDS/AREDS2 trials—can slow progression of age-related macular degeneration and reduce the absolute risk of severe visual loss by about 6%, helping prevent or delay advanced disease and preserve central vision; however, it can have side effects and may influence the development of neovascular (wet) AMD in some cases, so use should be guided by a clinician.']","The AREDS formula—validated by AREDS/AREDS2—can slow progression of age-related macular degeneration, reducing the absolute risk of severe visual loss by about 6% to help prevent or delay advanced disease and preserve central vision, though it carries potential side effects and should be used under clinician guidance."
What causes the wavy vision in wet AMD?,"Leaking blood vessels distort the macula, leading to metamorphopsia or wavy vision in wet AMD.","['Wavy vision in wet AMD occurs when abnormal new blood vessels grow beneath the macula (choroidal neovascularization); their leakage, bleeding and associated swelling distort or displace the retinal pigment epithelium and photoreceptors, causing retinal distortion that makes straight lines appear wavy.']","Wavy vision in wet AMD is caused by choroidal neovascularization—abnormal new blood vessels beneath the macula whose leakage, bleeding, and resultant swelling distort or displace the retinal pigment epithelium and photoreceptors, producing retinal distortion that makes straight lines appear wavy."
How does OCT imaging assist in AMD management?,"OCT imaging reveals retinal thickness and fluid, guiding treatment decisions in AMD management.","['Optical coherence tomography (OCT) provides high-resolution cross-sectional images of the retina and choroid that reveal retinal layers and microstructures, allowing clinicians to detect and quantify macular fluid (subretinal and intraretinal), edema, detachments, neovascularization and atrophy. By visualizing these signs and tracking changes over time, OCT identifies disease activity and stage, informs the need for and timing of treatments (such as anti‑VEGF therapy), monitors treatment response and progression toward geographic atrophy, and supplies surrogate biomarkers to guide individualized management. Enhanced depth imaging and OCT angiography further improve visualization of the choroidal vasculature and neovascular networks, supporting more precise diagnosis and follow‑up.']","OCT imaging assists AMD management by providing high-resolution, cross-sectional and vascular (OCT-A) visualization of retinal and choroidal microstructure to detect and quantify intraretinal/subretinal fluid, edema, detachments, neovascular networks and atrophy, thereby identifying disease activity and stage, guiding timing and need for anti‑VEGF or other therapies, monitoring treatment response and progression toward geographic atrophy, and supplying surrogate biomarkers for individualized care."
Why does smoking increase the severity of wet AMD?,"Smoking heightens oxidative damage, worsening blood vessel abnormalities and leakage in wet AMD.","['Smoking worsens wet AMD because it increases the risk of developing late, neovascular disease and accelerates progression by promoting microvascular aging, inflammation, and damage to the retinal pigment epithelium (with reductions in RPE volume). Smoking also alters proteases and other molecular pathways that favor choroidal neovascularization and tissue injury, leading to greater vision loss and more severe disease. Additionally, smokers often have poorer responses to anti-VEGF treatment, contributing to worse clinical outcomes.']","Smoking increases the severity of wet AMD by promoting microvascular aging, inflammation, retinal pigment epithelium damage (including reduced RPE volume), and protease/molecular changes that favor choroidal neovascularization and tissue injury, leading to faster progression, greater vision loss, and poorer responses to anti-VEGF treatment."
